國民所得統計常用資料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"期中
人口",平均匯率,"經濟
成長","名目國內生產
毛額(GDP)",,,,"名目國民所得
毛額(GNI)",,,,"名目國民所得
(NI)",,,,,,,,,,,,,,,,,,,,,
,,,,,,"平均每人
GDP",,,,"平均每人
GNI",,,,"平均每人
所　得",,,,,,,,,,,,,,,,,,,
,人,元/美元,％,百萬元,百萬美元,元,美元,百萬元,百萬美元,元,美元,百萬元,百萬美元,元,美元,,,,,,,,,,,,,,,,,,
  Ⅳ,"19,276,757",39.99,5.76,"656,722","16,423","34,050",852,"666,877","16,676","34,577",865,"601,046","15,031","31,165",779,,,,,,,,,,,,,,,,,,
75年,"19,411,454",37.85,11.52,"2,966,911","78,386","152,843","4,038","3,043,873","80,419","156,808","4,143","2,773,615","73,279","142,885","3,775",,,,,,,,,,,,,,,,,,
  Ⅰ,"19,336,243",39.24,10.20,"684,160","17,393","35,382",900,"704,347","17,907","36,425",926,"651,855","16,572","33,711",857,,,,,,,,,,,,,,,,,,
  Ⅱ,"19,382,372",38.38,9.57,"734,679","19,096","37,904",986,"750,650","19,511","38,727","1,007","669,214","17,395","34,526",898,,,,,,,,,,,,,,,,,,
  Ⅲ,"19,431,510",37.47,12.32,"761,704","20,279","39,198","1,043","779,974","20,766","40,139","1,069","713,094","18,985","36,697",977,,,,,,,,,,,,,,,,,,
  Ⅳ,"19,483,657",36.29,13.77,"786,368","21,618","40,359","1,109","808,902","22,235","41,517","1,141","739,452","20,327","37,951","1,043",,,,,,,,,,,,,,,,,,
76年,"19,617,046",31.87,12.70,"3,344,962","104,956","170,513","5,350","3,418,313","107,258","174,252","5,468","3,109,963","97,583","158,534","4,974",,,,,,,,,,,,,,,,,,
  Ⅰ,"19,528,807",34.98,13.16,"786,725","22,348","40,265","1,144","809,426","22,997","41,427","1,177","748,321","21,269","38,298","1,088",,,,,,,,,,,,,,,,,,
  Ⅱ,"19,572,927",32.39,14.29,"832,223","25,531","42,498","1,304","848,429","26,033","43,325","1,329","761,475","23,374","38,884","1,194",,,,,,,,,,,,,,,,,,
  Ⅲ,"19,627,073",30.53,13.64,"862,293","28,064","43,912","1,429","879,938","28,644","44,810","1,459","806,199","26,254","41,054","1,337",,,,,,,,,,,,,,,,,,
  Ⅳ,"19,692,249",29.58,9.95,"863,721","29,013","43,838","1,473","880,520","29,584","44,690","1,503","793,968","26,686","40,298","1,355",,,,,,,,,,,,,,,,,,
77年,"19,839,704",28.61,8.02,"3,615,319","126,366","182,226","6,369","3,712,693","129,769","187,134","6,541","3,387,085","118,388","170,723","5,967",,,,,,,,,,,,,,,,,,
  Ⅰ,"19,744,456",28.61,8.65,"846,978","29,604","42,870","1,498","876,596","30,638","44,368","1,551","813,359","28,429","41,166","1,439",,,,,,,,,,,,,,,,,,
  Ⅱ,"19,788,571",28.68,6.98,"887,744","30,953","44,832","1,563","910,270","31,738","45,970","1,603","828,177","28,876","41,823","1,458",,,,,,,,,,,,,,,,,,
  Ⅲ,"19,846,722",28.77,8.07,"926,609","32,207","46,658","1,622","946,872","32,911","47,678","1,657","866,099","30,105","43,610","1,516",,,,,,,,,,,,,,,,,,
